,tweet_text,emotion,target,norm_tweet
0,".@wesley83 I have a 3G iPhone. After 3 hrs tweeting at #RISE_Austin, it was dead!  I need to upgrade. Plugin stations at #SXSW.",Negative emotion,1,iphone hr tweet dead need upgrade plugin station
1,"@jessedee Know about @fludapp ? Awesome iPad/iPhone app that you'll likely appreciate for its design. Also, they're giving free Ts at #SXSW",Positive emotion,0,know awesome ipadiphone app youll likely appreciate design also theyre give free t
2,@swonderlin Can not wait for #iPad 2 also. They should sale them down at #SXSW.,Positive emotion,0,wait also sale
3,@sxsw I hope this year's festival isn't as crashy as this year's iPhone app. #sxsw,Negative emotion,1,hope year festival isnt crashy year iphone app
4,"@sxtxstate great stuff on Fri #SXSW: Marissa Mayer (Google), Tim O'Reilly (tech books/conferences) &amp; Matt Mullenweg (Wordpress)",Positive emotion,0,great stuff fri mayer google tim oreilly tech booksconferences amp matt mullenweg wordpress
7,"#SXSW is just starting, #CTIA is around the corner and #googleio is only a hop skip and a jump from there, good time to be an #android fan",Positive emotion,0,start corner hop skip jump good time fan
8,Beautifully smart and simple idea RT @madebymany @thenextweb wrote about our #hollergram iPad app for #sxsw! http://bit.ly/ieaVOB,Positive emotion,0,beautifully smart simple idea rt write ipad app
9,Counting down the days to #sxsw plus strong Canadian dollar means stock up on Apple gear,Positive emotion,0,counting day strong canadian dollar mean stock apple gear
10,Excited to meet the @samsungmobileus at #sxsw so I can show them my Sprint Galaxy S still running Android 2.1.   #fail,Positive emotion,0,excited meet show sprint galaxy still run android
11,Find &amp; Start Impromptu Parties at #SXSW With @HurricaneParty http://bit.ly/gVLrIn I can't wait til the Android app comes out.,Positive emotion,0,find amp start impromptu party cant wait til android app come
12,"Foursquare ups the game, just in time for #SXSW http://j.mp/grN7pK) - Still prefer @Gowalla by far, best looking Android app to date.",Positive emotion,0,foursquare ups game time still prefer far best look android app date
13,Gotta love this #SXSW Google Calendar featuring top parties/ show cases to check out.  RT @hamsandwich via @ischafer =&gt;http://bit.ly/aXZwxB,Positive emotion,0,get ta love google calendar feature top party show case check rt gt
14,Great #sxsw ipad app from @madebymany: http://tinyurl.com/4nqv92l,Positive emotion,0,great ipad app
15,"haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw",Positive emotion,0,haha awesomely rad ipad app
17,I just noticed DST is coming this weekend. How many iPhone users will be an hour late at SXSW come Sunday morning? #SXSW #iPhone,Negative emotion,1,noticed dst come weekend many iphone user hour late sxsw come sunday morning
18,"Just added my #SXSW flights to @planely. Matching people on planes/airports. Also downloaded the @KLM iPhone app, nicely done.",Positive emotion,0,added flight match people planesairports also download iphone app nicely do
19,Must have #SXSW app! RT @malbonster: Lovely review from Forbes for our SXSW iPad app Holler Gram - http://t.co/g4GZypV,Positive emotion,0,app rt lovely review forbes sxsw ipad app holler gram
20,Need to buy an iPad2 while I'm in Austin at #sxsw. Not sure if I'll need to Q up at an Austin Apple store?,Positive emotion,0,need buy im austin sure ill q austin apple store
21,"Oh. My. God. The #SXSW app for iPad is pure, unadulterated awesome. It's easier to browse events on iPad than on the website!!!",Positive emotion,0,god app ipad pure unadulterated awesome easy browse event ipad website
22,"Okay, this is really it: yay new @Foursquare for #Android app!!!!11 kthxbai. #sxsw",Positive emotion,0,okay really yay new kthxbai
23,"Photo: Just installed the #SXSW iPhone app, which is really nice! http://tumblr.com/x6t1pi6av7",Positive emotion,0,photo instal iphone app really nice
24,Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at #SXSW,Positive emotion,0,really enjoy change gowalla android look forward see else amp foursquare sleeve
25,"RT @LaurieShook: I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion.  #ChevySMC",Positive emotion,0,rt im look forward pre party wed hop ill win result shameless promotion
